n,win_rate,pf,total,avg,max_dd,sharpe,symbol
14,50.0,2.58,259.95,18.57,85.7,4.42,VEDL
26,57.7,2.29,427.45,16.44,165.15,4.12,ONGC
28,46.4,1.34,221.4,7.91,360.0,1.72,JSWSTEEL
38,60.5,1.23,221.9,5.84,256.5,1.25,HINDUNILVR
24,58.3,1.21,102.3,4.26,280.5,1.15,DRREDDY
28,50.0,1.14,83.6,2.99,239.85,0.72,DABUR
32,50.0,1.09,78.5,2.45,363.9,0.58,GODREJCP
43,51.2,1.0,0.2,0.0,228.8,0.0,BHARTIARTL
26,50.0,1.0,-0.7,-0.03,243.6,-0.01,INFY
31,45.2,0.88,-125.75,-4.06,305.5,-0.74,BAJFINANCE
28,42.9,0.87,-101.3,-3.62,265.7,-0.83,HCLTECH
30,40.0,0.76,-118.2,-3.94,271.0,-1.49,TORNTPHARM
