,symbol,trades,wins,losses,win_rate,total_pnl,avg_pnl,best,worst,max_dd
1,BPCL,9,7,2,77.8,330.25,36.69,125.6,-16.15,16.15
2,ONGC,19,10,9,52.6,304.5,16.03,143.65,-30.4,31.2
3,IDFCFIRSTB,21,10,11,47.6,280.05,13.34,117.04,-72.0,91.57
4,HCLTECH,23,12,11,52.2,277.5,12.07,95.4,-65.2,172.0
5,DABUR,17,9,8,52.9,272.6,16.04,88.55,-88.55,97.35
6,VEDL,8,5,3,62.5,251.3,31.41,80.8,-36.75,36.75
7,GODREJCP,20,12,8,60.0,247.9,12.39,85.8,-46.0,88.0
8,BAJFINANCE,24,10,14,41.7,217.8,9.08,106.5,-97.75,205.0
9,JSWSTEEL,25,12,13,48.0,193.1,7.72,70.4,-54.6,134.0
10,DRREDDY,16,8,8,50.0,187.3,11.71,82.8,-18.0,32.4
11,SUNPHARMA,23,13,10,56.5,169.4,7.37,81.8,-49.6,101.5
12,HINDALCO,9,4,5,44.4,136.8,15.2,56.8,-42.4,42.4
13,TATACONSUM,30,15,15,50.0,126.6,4.22,72.8,-97.2,240.4
14,POWERGRID,21,9,12,42.9,122.1,5.81,93.6,-92.8,92.8
15,ADANIENT,17,8,9,47.1,120.8,7.11,97.6,-60.2,96.4
16,MARICO,16,8,8,50.0,108.45,6.78,62.7,-51.6,58.8
17,BRITANNIA,23,12,11,52.2,96.5,4.2,100.5,-101.5,290.0
18,RELIANCE,36,14,22,38.9,92.1,2.56,76.5,-64.5,114.3
19,TORNTPHARM,20,8,12,40.0,89.8,4.49,111.4,-68.7,174.7
20,DIVISLAB,16,7,9,43.8,49.0,3.06,94.5,-106.0,220.0
21,SIEMENS,22,9,13,40.9,18.9,0.86,83.7,-49.3,174.8
22,PIDILITIND,18,5,13,27.8,15.3,0.85,97.5,-74.7,162.6
23,COALINDIA,20,9,11,45.0,10.0,0.5,89.0,-85.0,237.0
24,TATASTEEL,22,6,16,27.3,5.17,0.23,131.82,-117.7,207.66
25,CIPLA,18,6,12,33.3,-9.3,-0.52,67.2,-52.5,85.8
26,BEL,15,3,12,20.0,-28.15,-1.88,92.95,-33.55,82.65
27,BHARTIARTL,31,16,15,51.6,-30.0,-0.97,62.6,-81.0,95.0
28,FEDERALBNK,30,13,17,43.3,-31.8,-1.06,102.0,-109.65,205.7
29,ULTRACEMCO,22,7,15,31.8,-39.0,-1.77,219.0,-159.0,358.0
30,GRASIM,25,11,14,44.0,-49.2,-1.97,50.2,-56.3,128.7
31,BANKBARODA,26,10,16,38.5,-56.24,-2.16,61.2,-77.4,173.39
32,AXISBANK,31,12,19,38.7,-75.6,-2.44,62.4,-87.2,228.5
33,TRENT,21,9,12,42.9,-88.11,-4.2,80.16,-115.2,155.22
34,HAVELLS,23,9,14,39.1,-102.9,-4.47,83.6,-130.0,314.0
35,BAJAJFINSV,28,13,15,46.4,-106.4,-3.8,51.2,-96.6,230.8
36,TECHM,17,8,9,47.1,-162.0,-9.53,62.1,-109.2,266.7
37,INDUSINDBK,25,10,15,40.0,-162.6,-6.5,59.75,-96.6,236.7
38,APOLLOHOSP,21,6,15,28.6,-163.0,-7.76,122.0,-130.0,377.0
39,CHOLAFIN,23,10,13,43.5,-165.1,-7.18,92.7,-122.4,255.6
40,HAL,16,5,11,31.2,-218.5,-13.66,76.2,-181.2,343.3
41,MUTHOOTFIN,22,7,15,31.8,-241.5,-10.98,61.0,-87.2,241.5
42,TVSMOTOR,23,6,17,26.1,-256.1,-11.13,66.4,-120.3,346.5
43,HEROMOTOCO,28,7,21,25.0,-455.4,-16.26,115.5,-128.8,455.4
44,EICHERMOT,26,8,18,30.8,-519.0,-19.96,140.0,-183.0,745.0
45,ABB,24,11,13,45.8,-740.0,-30.83,190.0,-349.5,914.0
