,symbol,trades,wins,losses,win_rate_pct,total_pnl,avg_pnl,best,worst,iron_condor,bull_call,bear_put,straddle
1,AMD,27,19,8,70.4,5211.16,193.01,1542.85,-41.67,26,0,0,1
2,HOOD,31,20,11,64.5,4126.53,133.11,803.95,-68.89,29,0,0,2
3,AVGO,31,16,15,51.6,3495.6,112.76,642.47,-688.25,21,6,1,3
4,DKNG,38,27,11,71.1,3176.07,83.58,897.8,-500.0,24,7,1,6
5,COIN,32,21,11,65.6,3073.84,96.06,595.04,-60.32,30,1,0,1
6,RBLX,35,25,10,71.4,2638.8,75.39,630.68,-492.92,28,3,1,3
7,TSLA,24,16,8,66.7,2206.31,91.93,641.69,-150.99,15,6,1,2
8,SMCI,32,21,11,65.6,2128.68,66.52,416.14,-34.36,31,1,0,0
9,GOOGL,16,10,6,62.5,1917.51,119.84,646.57,-267.79,5,8,2,1
10,IONQ,34,20,14,58.8,1813.06,53.33,432.54,-102.98,33,1,0,0
11,QQQ,17,9,8,52.9,1614.51,94.97,710.87,-908.04,0,10,4,3
12,SOFI,32,25,7,78.1,1385.85,43.31,419.91,-412.5,28,1,1,2
13,SOUN,35,25,10,71.4,1110.09,31.72,153.47,-20.7,33,2,0,0
14,CLSK,35,20,15,57.1,1101.19,31.46,202.99,-23.14,33,1,1,0
15,AAPL,21,9,12,42.9,-100.44,-4.78,574.65,-358.96,0,9,2,10
16,GME,37,22,15,59.5,-197.0,-5.32,488.99,-495.25,10,10,9,8
17,MSFT,11,5,6,45.5,-1071.33,-97.39,426.69,-499.65,2,2,2,5
18,IWM,27,12,15,44.4,-1871.53,-69.32,412.04,-484.52,0,16,8,3
19,META,20,7,13,35.0,-2734.36,-136.72,459.68,-887.84,3,6,5,6
